taxid	kingdom	phylum	class
2962568	Kin_Sar	Bacillariophyta	Bacillariophyceae
2578210	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
181587	Kin_Sar	Ciliophora	Oligohymenophorea
457357	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
743684	Kin_Sar	Phy_of_Bigyra	Bigyra
432300	Kin_Sar	Cercozoa	Imbricatea
1110533	Kin_Sar	Ciliophora	Litostomatea
240364	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
858351	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2174074	Kin_Sar	Bacillariophyta	Fragilariophyceae
418113	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2585090	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
1685977	Kin_Sar	Ciliophora	Armophorea
52241	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
1905160	Kin_Sar	Ciliophora	Karyorelictea
1622023	Kin_Sar	Apicomplexa	Conoidasida
1891239	Kin_Sar	Ciliophora	Spirotrichea
2006545	Kin_of_Filasterea	Phy_of_Filasterea	Filasterea
2126240	Kin_Sar	Bacillariophyta	Bacillariophyceae
67476	Kin_Sar	Bacillariophyta	Bacillariophyceae
696187	Kin_Sar	Ciliophora	Spirotrichea
2969	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1030620	Kin_Sar	Ciliophora	Colpodea
81824	Kin_of_Choanoflagellata	Phy_of_Choanoflagellata	Choanoflagellata
498005	Kin_Amoebozoa	Tubulinea	Elardia
1905170	Kin_Sar	Ciliophora	Karyorelictea
2304685	Kin_Sar	Ciliophora	Spirotrichea
1798043	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1003015	Kin_Sar	Bacillariophyta	Mediophyceae
2604063	Kin_Sar	Phy_of_Bigyra	Bigyra
216893	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2068723	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
76713	Kin_of_Rhodophyta	Rhodophyta	Bangiophyceae
1126592	Kin_Sar	Ciliophora	Oligohymenophorea
293275	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
259924	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
240383	Kin_Sar	Phy_PX clade	Xanthophyceae
124797	Kin_Sar	Ciliophora	Spirotrichea
1089216	Kin_Sar	Bacillariophyta	Bacillariophyceae
2841856	Kin_Sar	Ciliophora	Spirotrichea
2652864	Kin_Sar	Ciliophora	Oligohymenophorea
1881105	Kin_Sar	Bacillariophyta	Bacillariophyceae
426635	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1538785	Kin_Sar	Ciliophora	Colpodea
515478	Kin_Sar	Bacillariophyta	Fragilariophyceae
1234422	Kin_Sar	Ciliophora	Spirotrichea
5947	Kin_Sar	Ciliophora	Spirotrichea
2608607	Kin_Sar	Ciliophora	Oligohymenophorea
638345	Kin_Sar	Ciliophora	Colpodea
1955567	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
1960792	Kin_Sar	Bacillariophyta	Bacillariophyceae
164321	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1302830	Kin_Sar	Bacillariophyta	Bacillariophyceae
459333	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
885320	Kin_Sar	Endomyxa	Phytomyxea
35101	Kin_Sar	Ciliophora	Oligohymenophorea
644181	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
352448	Kin_Sar	Ciliophora	Nassophorea
136833	Kin_Sar	Phy_of_Bigyra	Bigyra
1034831	Kin_Sar	Phy_of_Dictyochophyceae	Dictyochophyceae
284695	Kin_Sar	Bacillariophyta	Bacillariophyceae
668368	Kin_Amoebozoa	Evosea	Variosea
1896767	Kin_Sar	Phy_of_Bigyra	Bigyra
38246	Kin_Sar	Endomyxa	Ascetosporea
459293	Kin_Sar	Ciliophora	Colpodea
2725330	Kin_Sar	Endomyxa	Ascetosporea
513204	Kin_Sar	Ciliophora	Spirotrichea
337443	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
308877	Kin_Sar	Phy_PX clade	Xanthophyceae
35163	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
459257	Kin_Sar	Ciliophora	Colpodea
5938	Kin_Sar	Ciliophora	Spirotrichea
251737	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
478668	Kin_Sar	Phy_of_Raphidophyceae	Raphidophyceae
1882005	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
1051731	Kin_of_Choanoflagellata	Phy_of_Choanoflagellata	Choanoflagellata
1677994	Kin_Sar	Ciliophora	Litostomatea
49249	Kin_Sar	Bacillariophyta	Mediophyceae
492565	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1139991	Kin_Sar	Apicomplexa	Conoidasida
2582424	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
467064	Kin_Sar	Cercozoa	Chlorarachniophyceae
1574461	Kin_Sar	Bacillariophyta	Bacillariophyceae
1938616	Kin_of_Aphelida	Phy_Aphelida	Aphelidea
420607	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
2491349	Kin_Sar	Phy_of_Eustigmatophyceae	Eustigmatophyceae
1905158	Kin_Sar	Ciliophora	Karyorelictea
1513360	Kin_Sar	Ciliophora	Spirotrichea
1655010	Kin_Amoebozoa	Evosea	Variosea
1071554	Kin_Sar	Ciliophora	Spirotrichea
2930480	Kin_Sar	Ciliophora	Heterotrichea
795121	Kin_Sar	Ciliophora	Spirotrichea
715261	Kin_Sar	Phy_of_Bigyra	Bigyra
584655	Kin_Sar	Ciliophora	Spirotrichea
2716151	Kin_Sar	Ciliophora	Heterotrichea
2724425	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
2782385	Kin_Sar	Ciliophora	Heterotrichea
864284	Kin_Sar	Ciliophora	Spirotrichea
1825506	Kin_Amoebozoa	Discosea	Flabellinia
1821547	Kin_Sar	Ciliophora	Heterotrichea
459518	Kin_Sar	Ciliophora	Colpodea
2511771	Kin_Sar	Phy_PX clade	Xanthophyceae
265587	Kin_Sar	Bacillariophyta	Bacillariophyceae
1810839	Kin_Sar	Phy_PX clade	Xanthophyceae
156187	Kin_Sar	Phy_of_Dictyochophyceae	Dictyochophyceae
552936	Kin_Sar	Ciliophora	Spirotrichea
303462	Kin_Sar	Bacillariophyta	Bacillariophyceae
2652899	Kin_Sar	Ciliophora	Spirotrichea
1004399	Kin_Sar	Ciliophora	Spirotrichea
39448	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
426641	Kin_Sar	Bacillariophyta	Fragilariophyceae
1524208	Kin_Sar	Phy_of_Bigyra	Bigyra
1215640	Kin_Amoebozoa	Discosea	Flabellinia
1690662	Kin_Sar	Apicomplexa	Conoidasida
173033	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
693910	Kin_Sar	Ciliophora	Spirotrichea
210733	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
195972	Kin_Sar	Phy_PX clade	Xanthophyceae
1348390	Kin_Sar	Ciliophora	Oligohymenophorea
2283688	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
401260	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
370857	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1816175	Kin_Sar	Ciliophora	Spirotrichea
48602	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
1933021	Kin_Sar	Ciliophora	Spirotrichea
1683181	Kin_Sar	Ciliophora	Prostomatea
993384	Kin_Sar	Ciliophora	Litostomatea
257771	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1695206	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
136450	Kin_Amoebozoa	Tubulinea	Echinamoebida
1655541	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1051713	Kin_Sar	Bacillariophyta	Bacillariophyceae
538918	Kin_Sar	Bacillariophyta	Bacillariophyceae
1714586	Kin_Sar	Ciliophora	Prostomatea
251728	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
984088	Kin_Sar	Phy_of_Synurophyceae	Synurophyceae
31417	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
135206	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
259834	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
479719	Kin_Sar	Phy_PX clade	Aurearenophyceae
2126271	Kin_Sar	Bacillariophyta	Bacillariophyceae
1527825	Kin_Sar	Bacillariophyta	Mediophyceae
641227	Kin_Sar	Ciliophora	Spirotrichea
122942	Kin_Sar	Ciliophora	Oligohymenophorea
385028	Kin_Sar	Ciliophora	Spirotrichea
490354	Kin_Amoebozoa	Evosea	Variosea
2794256	Kin_Sar	Bacillariophyta	Fragilariophyceae
2575990	Kin_Sar	Ciliophora	Armophorea
1427728	Kin_Sar	Cercozoa	Imbricatea
1003084	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1127222	Kin_Sar	Phy_of_Acantharea	Acantharea
87106	Kin_Sar	Phy_of_Bigyra	Bigyra
2857117	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1446911	Kin_Sar	Phy_of_Eustigmatophyceae	Eustigmatophyceae
1002222	Kin_Sar	Ciliophora	Oligohymenophorea
420619	Kin_Sar	Phy_of_Synurophyceae	Synurophyceae
2919892	Kin_Sar	Ciliophora	Armophorea
1810343	Kin_Sar	Ciliophora	Oligohymenophorea
299896	Kin_Haptista	Phy_of_Centroplasthelida	Centroplasthelida
193175	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
2042497	Kin_Sar	Ciliophora	Oligohymenophorea
2582952	Kin_Sar	Ciliophora	Oligohymenophorea
262233	Kin_Sar	Endomyxa	Ascetosporea
38265	Kin_of_Rhodophyta	Rhodophyta	Rhodellophyceae
1683234	Kin_Sar	Ciliophora	Oligohymenophorea
66466	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1951592	Kin_Sar	Bacillariophyta	Bacillariophyceae
670800	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1629876	Kin_Sar	Bacillariophyta	Bacillariophyceae
1905175	Kin_Sar	Ciliophora	Karyorelictea
2829	Kin_Sar	Phy_of_Raphidophyceae	Raphidophyceae
78393	Kin_Sar	Phy_of_Bigyra	Bigyra
200886	Kin_Amoebozoa	Tubulinea	Elardia
1851121	Kin_Sar	Apicomplexa	Conoidasida
1629837	Kin_Sar	Bacillariophyta	Bacillariophyceae
33642	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
482538	Kin_Sar	Apicomplexa	Conoidasida
1505583	Kin_Sar	Ciliophora	Spirotrichea
37360	Kin_Sar	Endomyxa	Phytomyxea
1655008	Kin_Amoebozoa	Evosea	Variosea
5992	Kin_Sar	Ciliophora	Litostomatea
117008	Kin_Sar	Apicomplexa	Conoidasida
2810150	Kin_Sar	Phy_of_Bigyra	Bigyra
1415522	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1162810	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
314250	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1879207	Kin_Sar	Bacillariophyta	Fragilariophyceae
1925422	Kin_Sar	Ciliophora	Spirotrichea
44443	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
2730943	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
2909485	Kin_Sar	Phy_of_Bigyra	Bigyra
1934193	Kin_of_Aphelida	Phy_Aphelida	Aphelidea
160606	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
451782	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
168254	Kin_Sar	Ciliophora	Oligohymenophorea
2302656	Kin_Sar	Phy_of_Bigyra	Bigyra
1868452	Kin_Sar	Ciliophora	Litostomatea
114794	Kin_Sar	Ciliophora	Litostomatea
1239449	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1385429	Kin_Sar	Apicomplexa	Conoidasida
167536	Kin_Sar	Endomyxa	Phytomyxea
39578	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
218660	Kin_Amoebozoa	Discosea	Flabellinia
433949	Kin_Sar	Bacillariophyta	Fragilariophyceae
1764850	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1009512	Kin_Sar	Ciliophora	Spirotrichea
1943723	Kin_Sar	Ciliophora	Plagiopylea
1608464	Kin_Sar	Ciliophora	Spirotrichea
200892	Kin_Amoebozoa	Discosea	Flabellinia
1655001	Kin_Amoebozoa	Evosea	Variosea
1825909	Kin_Sar	Ciliophora	Spirotrichea
2823251	Kin_Sar	Ciliophora	Prostomatea
464990	Kin_of_Cryptophyceae	Phy_of_Cryptophyceae	Cryptophyceae
2652906	Kin_Sar	Ciliophora	Oligohymenophorea
1882061	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
1229734	Kin_Sar	Ciliophora	Spirotrichea
35166	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
2908640	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2040471	Kin_Sar	Phy_of_Eustigmatophyceae	Eustigmatophyceae
37102	Kin_of_Choanoflagellata	Phy_of_Choanoflagellata	Choanoflagellata
1497015	Kin_Sar	Apicomplexa	Conoidasida
5963	Kin_Sar	Ciliophora	Heterotrichea
1118043	Kin_Sar	Apicomplexa	Marosporida
